0,避難所,位置,緯度,経度
1,熊本城,熊本県熊本市中央区本丸1-1,32.806186,130.705834
2,城東小学校,熊本県熊本市中央区千葉城町5-1,32.8086471,130.7090077
3,藤園中学校,熊本県熊本市中央区千葉城町5-2,32.8089832,130.7080939
4,二の丸公園,熊本県熊本市中央二の丸,32.8058119,130.7024193
5,熊本大学黒髪地区,熊本県熊本市中央区黒髪2丁目39-1,32.8140384,130.725684
6,済々黌高校,熊本県熊本市中央区黒髪２丁目22-1,32.8177134,130.7230787
7,子飼橋上流右岸,熊本県熊本市中央区黒髪２丁目,32.8134096,130.7235605
8,開新高校,中央区大江6丁目1-33,32.7996612,130.7245122
9,熊本学園大学,中央区大江2丁目5-1,32.8043052,130.7274314
10,熊本高校,中央区新大江1丁目8-1,32.7995167,130.727501
