0,避難所,位置,緯度,経度
1,熊本大学,熊本県熊本市中央区黒髪2丁目39-1,32.8140384,130.725684
2,子飼橋上流右岸,熊本県熊本市中央区黒髪２丁目,32.8134096,130.7235605
3,済々黌高校,熊本県熊本市中央区黒髪２丁目22-1,32.8177134,130.7230787
4,藤園中学校,熊本県熊本市中央区千葉城町5-2,32.8089832,130.7080939
5,城東小学校,熊本県熊本市中央区千葉城町5-1,32.8086471,130.7090077
6,熊本城,熊本県熊本市中央区本丸1-1,32.806186,130.705834
7,二の丸公園,熊本県熊本市中央二の丸,32.8058119,130.7024193
8,交通センター,熊本県熊本市中央区桜町３−１０,32.8004326,130.7027817
